package,filepath,class_path,method_name,signature,line_range,author_lines_map,author_edit_ratio_map,dominant_author,test_class,code
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,size,int size(),"[204, 220]","{'A460': [(205, 220)], 'A461': [(204, 204)]}","{'A460': 0.9411764705882353, 'A461': 0.058823529411764705}",A460,,"    public int size() {
        /*
         * It is possible for a thread to be interrupted or reschedule between the read of the producer and
         * consumer indices, therefore protection is required to ensure size is within valid range. In the
         * event of concurrent polls/offers to this method the size is OVER estimated as we read consumer
         * index BEFORE the producer index.
         */
        long after = lvConsumerIndex();
        while (true) {
            final long before = after;
            final long currentProducerIndex = lvProducerIndex();
            after = lvConsumerIndex();
            if (before == after) {
                return (int) (currentProducerIndex - after);
            }
        }
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,isEmpty,boolean isEmpty(),"[222, 225]","{'A460': [(222, 225)]}",{'A460': 1.0},A460,,"    @Override
    public boolean isEmpty() {
        return lvProducerIndex() == lvConsumerIndex();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,adjustLookAheadStep,void adjustLookAheadStep(int),"[227, 229]","{'A460': [(227, 229)]}",{'A460': 1.0},A460,,"    private void adjustLookAheadStep(int capacity) {
        producerLookAheadStep = Math.min(capacity / 4, MAX_LOOK_AHEAD_STEP);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lvProducerIndex,long lvProducerIndex(),"[231, 233]","{'A460': [(231, 233)]}",{'A460': 1.0},A460,,"    private long lvProducerIndex() {
        return producerIndex.get();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lvConsumerIndex,long lvConsumerIndex(),"[235, 237]","{'A460': [(235, 237)]}",{'A460': 1.0},A460,,"    private long lvConsumerIndex() {
        return consumerIndex.get();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lpProducerIndex,long lpProducerIndex(),"[239, 241]","{'A460': [(239, 241)]}",{'A460': 1.0},A460,,"    private long lpProducerIndex() {
        return producerIndex.get();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lpConsumerIndex,long lpConsumerIndex(),"[243, 245]","{'A460': [(243, 245)]}",{'A460': 1.0},A460,,"    private long lpConsumerIndex() {
        return consumerIndex.get();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,soProducerIndex,void soProducerIndex(long),"[247, 249]","{'A460': [(247, 249)]}",{'A460': 1.0},A460,,"    private void soProducerIndex(long v) {
        producerIndex.lazySet(v);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,soConsumerIndex,void soConsumerIndex(long),"[251, 253]","{'A460': [(251, 253)]}",{'A460': 1.0},A460,,"    private void soConsumerIndex(long v) {
        consumerIndex.lazySet(v);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,calcWrappedOffset,"int calcWrappedOffset(long,int)","[255, 257]","{'A460': [(256, 257)], 'A461': [(255, 255)]}","{'A460': 0.6666666666666666, 'A461': 0.3333333333333333}",A460,,"    private static int calcWrappedOffset(long index, int mask) {
        return calcDirectOffset((int)index & mask);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,calcDirectOffset,int calcDirectOffset(int),"[258, 260]","{'A460': [(259, 260)], 'A461': [(258, 258)]}","{'A460': 0.6666666666666666, 'A461': 0.3333333333333333}",A460,,"    private static int calcDirectOffset(int index) {
        return index;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,soElement,"void soElement(AtomicReferenceArray<Object>,int,Object)","[261, 263]","{'A460': [(262, 263)], 'A461': [(261, 261)]}","{'A460': 0.6666666666666666, 'A461': 0.3333333333333333}",A460,,"    private static void soElement(AtomicReferenceArray<Object> buffer, int offset, Object e) {
        buffer.lazySet(offset, e);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lvElement,"Object lvElement(AtomicReferenceArray<Object>,int)","[265, 267]","{'A460': [(266, 267)], 'A461': [(265, 265)]}","{'A460': 0.6666666666666666, 'A461': 0.3333333333333333}",A460,,"    private static Object lvElement(AtomicReferenceArray<Object> buffer, int offset) {
        return buffer.get(offset);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,offer,"boolean offer(T,T)","[276, 305]","{'A459': [(281, 281), (283, 283), (293, 293), (298, 298)], 'A460': [(277, 280), (282, 282), (284, 287), (289, 290), (292, 292), (294, 294), (296, 297), (299, 299), (302, 305)], 'A461': [(276, 276), (288, 288), (291, 291), (295, 295), (300, 301)]}","{'A459': 0.13333333333333333, 'A460': 0.6666666666666666, 'A461': 0.2}",A460,,"    @Override
    public boolean offer(T first, T second) {
        final AtomicReferenceArray<Object> buffer = producerBuffer;
        final long p = lvProducerIndex();
        final int m = producerMask;

        int pi = calcWrappedOffset(p + 2, m);

        if (null == lvElement(buffer, pi)) {
            pi = calcWrappedOffset(p, m);
            soElement(buffer, pi + 1, second);
            soElement(buffer, pi, first);
            soProducerIndex(p + 2);
        } else {
            final int capacity = buffer.length();
            final AtomicReferenceArray<Object> newBuffer = new AtomicReferenceArray<>(capacity);
            producerBuffer = newBuffer;

            pi = calcWrappedOffset(p, m);
            soElement(newBuffer, pi + 1, second); // StoreStore
            soElement(newBuffer, pi, first);
            soNext(buffer, newBuffer);

            soElement(buffer, pi, HAS_NEXT); // new buffer is visible after element is

            soProducerIndex(p + 2); // this ensures correctness on 32bit platforms
        }

        return true;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,offer,boolean offer(E),"[64, 84]","{'A460': [(64, 74), (76, 76), (78, 81), (83, 84)], 'A461': [(75, 75), (77, 77), (82, 82)]}","{'A460': 0.8571428571428571, 'A461': 0.14285714285714285}",A460,,"    @Override
    public boolean offer(E e) {
        if (null == e) {
            throw new NullPointerException(""Null is not a valid element"");
        }
        // local load of field to avoid repeated loads after volatile reads
        final int mask = this.mask;
        final long index = producerIndex.get();
        final int offset = calcElementOffset(index, mask);
        if (index >= producerLookAhead) {
            int step = lookAheadStep;
            if (null == lvElement(calcElementOffset(index + step, mask))) { // LoadLoad
                producerLookAhead = index + step;
            } else if (null != lvElement(offset)) {
                return false;
            }
        }
        soElement(offset, e); // StoreStore
        soProducerIndex(index + 1); // ordered store -> atomic and ordered for size()
        return true;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,offer,"boolean offer(E,E)","[86, 90]","{'A459': [(88, 88)], 'A461': [(86, 87), (89, 90)]}","{'A459': 0.2, 'A461': 0.8}",A461,,"    @Override
    public boolean offer(E v1, E v2) {
        // FIXME
        return offer(v1) && offer(v2);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,poll,E poll(),"[92, 105]","{'A460': [(93, 97), (99, 102), (104, 105)], 'A461': [(98, 98), (103, 103)], 'A462': [(92, 92)]}","{'A460': 0.7857142857142857, 'A461': 0.14285714285714285, 'A462': 0.07142857142857142}",A460,,"    @Nullable
    @Override
    public E poll() {
        final long index = consumerIndex.get();
        final int offset = calcElementOffset(index);
        // local load of field to avoid repeated loads after volatile reads
        final E e = lvElement(offset); // LoadLoad
        if (null == e) {
            return null;
        }
        soConsumerIndex(index + 1); // ordered store -> atomic and ordered for size()
        soElement(offset, null); // StoreStore
        return e;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,isEmpty,boolean isEmpty(),"[107, 110]","{'A460': [(107, 110)]}",{'A460': 1.0},A460,,"    @Override
    public boolean isEmpty() {
        return producerIndex.get() == consumerIndex.get();
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,soProducerIndex,void soProducerIndex(long),"[112, 114]","{'A460': [(113, 114)], 'A463': [(112, 112)]}","{'A460': 0.6666666666666666, 'A463': 0.3333333333333333}",A460,,"    void soProducerIndex(long newIndex) {
        producerIndex.lazySet(newIndex);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,soConsumerIndex,void soConsumerIndex(long),"[116, 118]","{'A460': [(117, 118)], 'A463': [(116, 116)]}","{'A460': 0.6666666666666666, 'A463': 0.3333333333333333}",A460,,"    void soConsumerIndex(long newIndex) {
        consumerIndex.lazySet(newIndex);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,clear,void clear(),"[120, 124]","{'A461': [(123, 123)], 'A463': [(120, 122), (124, 124)]}","{'A461': 0.2, 'A463': 0.8}",A463,,"    @Override
    public void clear() {
        // we have to test isEmpty because of the weaker poll() guarantee
        while (poll() != null || !isEmpty()) { } // NOPMD
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,calcElementOffset,"int calcElementOffset(long,int)","[126, 128]","{'A463': [(126, 128)]}",{'A463': 1.0},A463,,"    int calcElementOffset(long index, int mask) {
        return (int)index & mask;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,calcElementOffset,int calcElementOffset(long),"[130, 132]","{'A463': [(130, 132)]}",{'A463': 1.0},A463,,"    int calcElementOffset(long index) {
        return (int)index & mask;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,soElement,"void soElement(int,E)","[134, 136]","{'A463': [(134, 136)]}",{'A463': 1.0},A463,,"    void soElement(int offset, E value) {
        lazySet(offset, value);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscArrayQueue.java,SpscArrayQueue,lvElement,E lvElement(int),"[138, 140]","{'A463': [(138, 140)]}",{'A463': 1.0},A463,,"    E lvElement(int offset) {
        return get(offset);
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,lockdown,void lockdown(),"[137, 139]","{'A460': [(137, 139)]}",{'A460': 1.0},A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    public static void lockdown() {
        lockdown = true;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,isLockdown,boolean isLockdown(),"[145, 147]","{'A460': [(145, 147)]}",{'A460': 1.0},A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    public static boolean isLockdown() {
        return lockdown;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,setFailOnNonBlockingScheduler,void setFailOnNonBlockingScheduler(boolean),"[157, 162]","{'A461': [(157, 162)]}",{'A461': 1.0},A461,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    public static void setFailOnNonBlockingScheduler(boolean enable) {
        if (lockdown) {
            throw new IllegalStateException(""Plugins can't be changed anymore"");
        }
        failNonBlockingScheduler = enable;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,isFailOnNonBlockingScheduler,boolean isFailOnNonBlockingScheduler(),"[172, 174]","{'A461': [(172, 174)]}",{'A461': 1.0},A461,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    public static boolean isFailOnNonBlockingScheduler() {
        return failNonBlockingScheduler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getComputationSchedulerHandler,"Function<? super Scheduler, ? extends Scheduler> getComputationSchedulerHandler()","[180, 183]","{'A460': [(182, 183)], 'A462': [(180, 181)]}","{'A460': 0.5, 'A462': 0.5}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Scheduler, ? extends Scheduler> getComputationSchedulerHandler() {
        return onComputationHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getErrorHandler,Consumer<? super Throwable> getErrorHandler(),"[189, 192]","{'A460': [(191, 192)], 'A462': [(189, 190)]}","{'A460': 0.5, 'A462': 0.5}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Consumer<? super Throwable> getErrorHandler() {
        return errorHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getInitComputationSchedulerHandler,"Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitComputationSchedulerHandler()","[198, 201]","{'A460': [(200, 201)], 'A461': [(199, 199)], 'A462': [(198, 198)]}","{'A460': 0.5, 'A461': 0.25, 'A462': 0.25}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitComputationSchedulerHandler() {
        return onInitComputationHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getInitIoSchedulerHandler,"Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitIoSchedulerHandler()","[207, 210]","{'A460': [(210, 210)], 'A461': [(208, 208)], 'A468': [(209, 209)], 'A462': [(207, 207)]}","{'A460': 0.25, 'A461': 0.25, 'A468': 0.25, 'A462': 0.25}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitIoSchedulerHandler() {
        return onInitIoHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getInitNewThreadSchedulerHandler,"Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitNewThreadSchedulerHandler()","[216, 219]","{'A460': [(218, 219)], 'A461': [(217, 217)], 'A462': [(216, 216)]}","{'A460': 0.5, 'A461': 0.25, 'A462': 0.25}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitNewThreadSchedulerHandler() {
        return onInitNewThreadHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getInitSingleSchedulerHandler,"Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitSingleSchedulerHandler()","[225, 228]","{'A460': [(227, 228)], 'A461': [(226, 226)], 'A462': [(225, 225)]}","{'A460': 0.5, 'A461': 0.25, 'A462': 0.25}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Supplier<Scheduler>, ? extends Scheduler> getInitSingleSchedulerHandler() {
        return onInitSingleHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getIoSchedulerHandler,"Function<? super Scheduler, ? extends Scheduler> getIoSchedulerHandler()","[234, 237]","{'A460': [(237, 237)], 'A468': [(236, 236)], 'A462': [(234, 235)]}","{'A460': 0.25, 'A468': 0.25, 'A462': 0.5}",A462,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Scheduler, ? extends Scheduler> getIoSchedulerHandler() {
        return onIoHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getNewThreadSchedulerHandler,"Function<? super Scheduler, ? extends Scheduler> getNewThreadSchedulerHandler()","[243, 246]","{'A460': [(245, 246)], 'A462': [(243, 244)]}","{'A460': 0.5, 'A462': 0.5}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Scheduler, ? extends Scheduler> getNewThreadSchedulerHandler() {
        return onNewThreadHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getScheduleHandler,"Function<? super Runnable, ? extends Runnable> getScheduleHandler()","[252, 255]","{'A460': [(254, 255)], 'A462': [(252, 253)]}","{'A460': 0.5, 'A462': 0.5}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Runnable, ? extends Runnable> getScheduleHandler() {
        return onScheduleHandler;
    }
"
io.reactivex.rxjava3.plugins,../projects/RxJava/src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,RxJavaPlugins,getSingleSchedulerHandler,"Function<? super Scheduler, ? extends Scheduler> getSingleSchedulerHandler()","[261, 264]","{'A460': [(263, 264)], 'A462': [(261, 262)]}","{'A460': 0.5, 'A462': 0.5}",A460,../projects/RxJava/src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,"    @Nullable
    public static Function<? super Scheduler, ? extends Scheduler> getSingleSchedulerHandler() {
        return onSingleHandler;
    }
"
